board_size,coordinates,MN_time,Eval_time,num_times_passed,num_times_failed
11,(1 5),36.510222,0.001325,390,0
11,(1 6),15.858225,0.001236,391,0
11,(1 7),2.381413,0.001445,392,0
11,(1 8),0.909661,0.001293,393,0
11,(1 9),1.095331,0.001256,394,0
11,(1 10),0.584513,0.001779,395,0
11,(1 11),381.550621,0.001243,396,0
11,(2 1),370.947984,0.001291,397,0
11,(2 2),27.915475,0.001367,398,0
11,(2 3),4.071001,0.001256,399,0
11,(2 4),309.352346,0.001242,400,0
11,(2 5),9.858580,0.001211,401,0
11,(2 6),0.718025,0.001321,402,0
11,(2 7),14.200925,0.001232,403,0
11,(2 8),524.498886,0.001327,404,0
11,(2 9),1.034761,0.001362,405,0
11,(2 10),0.379045,0.001495,406,0
11,(2 11),233.602373,0.001361,407,0
11,(3 1),3.276042,0.001517,408,0
11,(3 2),306.952833,0.001381,409,0
11,(3 3),0.495447,0.001293,410,0
11,(3 4),1.405812,0.001286,411,0
11,(3 5),4.084815,0.001396,412,0
11,(3 6),19.161141,0.001237,413,0
11,(3 7),10.478862,0.001328,414,0
11,(3 8),8.918588,0.001351,415,0
11,(3 9),437.832403,0.001320,416,0
11,(3 10),25.251712,0.001262,417,0
11,(3 11),1585.759255,0.001256,418,0
11,(4 1),11.492582,0.001436,419,0
11,(4 2),311.508975,0.001378,420,0
11,(4 3),36.019405,0.001353,421,0
11,(4 4),7.013149,0.001314,422,0
11,(4 5),553.539791,0.001376,423,0
11,(4 6),1.030641,0.001351,424,0
11,(4 7),0.414269,0.001285,425,0
11,(4 8),25.672875,0.001260,426,0
11,(4 9),9.347792,0.001438,427,0
11,(4 10),28.639257,0.001357,428,0
11,(4 11),23.985883,0.001339,429,0
11,(5 1),0.043652,0.001286,430,0
11,(5 2),8.621978,0.001365,431,0
11,(5 3),4.728840,0.001525,432,0
11,(5 4),6.818578,0.001245,433,0
11,(5 5),23.753850,0.001399,434,0
11,(5 6),471.241108,0.001308,435,0
11,(5 7),13.829880,0.001307,436,0
11,(5 8),12.998630,0.001411,437,0
11,(5 9),0.217496,0.001407,438,0
11,(5 10),404.268370,0.001242,439,0
11,(5 11),478.812281,0.001276,440,0
11,(6 1),0.037268,0.001409,441,0
11,(6 2),12.951265,0.001407,442,0
11,(6 3),7.749447,0.001307,443,0
11,(6 4),780.961163,0.001360,444,0
11,(6 5),375.653280,0.001337,445,0
11,(6 6),9.233842,0.001284,446,0
11,(6 7),366.107951,0.001333,447,0
11,(6 8),0.291630,0.001231,448,0
11,(6 9),8.527419,0.001226,449,0
11,(6 10),431.679575,0.001487,450,0
11,(6 11),0.225733,0.001270,451,0
11,(7 1),22.946095,0.001209,452,0
11,(7 2),0.003473,0.001130,453,0
11,(7 3),560.002419,0.001311,454,0
11,(7 4),1000.528685,0.001287,455,0
11,(7 5),25.185385,0.001261,456,0
11,(7 6),7.248796,0.001325,457,0
11,(7 7),17.030279,0.001365,458,0
11,(7 8),4.815238,0.001339,459,0
